canonical_key,total_mentions,variation_count,variations
Elizabeth,608,1,['Elizabeth']
Jane,295,1,['Jane']
Darcy,252,1,[' Darcy']
Bennet,226,1,[' Bennet']
Bingley,218,2,"['Bingley', 'Miss Bingley']"
Darcy,193,2,"['Darcy', 'Miss Darcy']"
Collins,178,1,[' Collins']
Lydia,172,2,"['Lydia', 'Miss Lydia']"
Wickham,141,1,['Wickham']
Miss_Bennet,123,2,"['Bennet', 'Miss Bennet']"
Lizzy,103,3,"['Lizzie', 'Lizzy', 'Miss Elizabeth']"
Lady_Catherine,101,1,['Lady Catherine']
Bingley,99,1,[' Bingley']
Gardiner,80,1,[' Gardiner']
Charlotte,79,1,['Charlotte']
Kitty,72,1,['Kitty']
Wickham,63,1,[' Wickham']
Mary,62,2,"['Maria', 'Mary']"
Miss_Lucas,42,2,"['Lady Lucas', 'Miss Lucas']"
Colonel_Fitzwilliam,37,2,"['Colonel Fitzwilliam', 'Fitzwilliam']"
Colonel_Forster,34,2,"['Colonel Forster', 'Forster']"
Sir_William,33,2,"['Bell', 'Sir William']"
Hurst,32,1,[' Hurst']
Catherine,31,1,['Catherine']
Collins,27,1,['Collins']
Gardiner,27,1,['Gardiner']
Miss_Austen,26,2,"['Austen', 'Miss Austen']"
Philips,25,1,[' Philips']
Miss_De_Bourgh,22,3,"['De Bourgh', 'Miss De Bourgh', 'Miss de Bourgh']"
Meryton,21,1,['Meryton']
Ladyship,19,1,['Ladyship']
Longbourn,17,1,['Longbourn']
Lucases,16,2,"['Lucases', 'Miss Lucases']"
Eliza,16,1,['Eliza']
Netherfield,15,1,['Netherfield']
Caroline,15,1,['Caroline']
Denny,15,2,"[' Denny', 'Denny']"
Georgiana,14,1,['Georgiana']
Lady_Catherine_De_Bourgh,13,1,['Lady Catherine de Bourgh']
Philips,13,1,['Philips']
Long,13,1,[' Long']
Rosings,13,1,['Rosings']
Forster,11,1,[' Forster']
Pemberley,10,1,['Pemberley']
Lucas,10,1,['Lucas']
Miss_Bennets,10,2,"['Bennets', 'Miss Bennets']"
Sir_William_Lucas,10,1,['Sir William Lucas']
Charlotte_Lucas,9,1,['Charlotte Lucas']
Jenkinson,9,1,[' Jenkinson']
Reynolds,8,1,[' Reynolds']
Elizabeth_Bennet,7,2,"['Elizabeth Bennet', 'Miss Elizabeth Bennet']"
William,7,1,['William']
Charles,7,1,['Charles']
Bourgh,7,1,['Bourgh']
George_Wickham,7,1,['George Wickham']
Louisa,6,1,['Louisa']
Hill,6,1,['Hill']
Gardiners,6,1,['Gardiners']
Collinses,6,1,['Collinses']
Swift,5,1,['Swift']
Miss_King,5,1,['Miss King']
Miss_Eliza,5,1,['Miss Eliza']
Bingleys,5,1,['Bingleys']
Hunsford,5,1,['Hunsford']
F,5,2,"['Colonel F', 'F']"
Fielding,4,1,['Fielding']
Addison,4,1,['Addison']
Miss_Lydia_Bennet,4,2,"['Lydia Bennet', 'Miss Lydia Bennet']"
Long,4,1,['Long']
Captain_Carter,4,2,"['Captain Carter', 'Carter']"
Jones,4,1,[' Jones']
Hurst,4,1,['Hurst']
Emma,3,1,['Emma']
Colonel_Miller,3,2,"['Colonel Miller', 'Miller']"
Lucas_Lodge,3,1,['Lucas Lodge']
Robinson,3,1,['Robinson']
Robinson,3,1,[' Robinson']
Miss_Eliza_Bennet,3,2,"['Eliza Bennet', 'Miss Eliza Bennet']"
Kent,3,1,['Kent']
Sir_Lewis_De_Bourgh,3,1,['Sir Lewis de Bourgh']
De,3,2,"['De', 'de']"
Anne,3,1,['Anne']
Younge,3,1,[' Younge']
Reynolds,3,1,['Reynolds']
Annesley,3,1,[' Annesley']
Derbyshire,3,1,['Derbyshire']
Jane_Austen,2,1,['Jane Austen']
Fanny,2,1,['Fanny']
Crawford,2,1,['Crawford']
Norris,2,1,[' Norris']
Eltons,2,1,['Eltons']
M,2,1,['M']
Thackeray,2,1,['Thackeray']
Beatrix,2,1,['Beatrix']
Barbara,2,1,['Barbara']
Dawson,2,1,['Dawson']
Mamma,2,1,['Mamma']
Philipses,2,1,['Philipses']
Lady_Anne_Darcy,2,2,"['Anne Darcy', 'Lady Anne Darcy']"
Miss_Lizzy,2,1,['Miss Lizzy']
John,2,1,['John']
King,2,1,['King']
Harriet,2,1,['Harriet']
Pratt,2,1,['Pratt']
W,2,1,['W']
