canonical_key,total_mentions,variation_count,variations,gender_from_xml,classified_gender,final_gender
Elizabeth_Bennet,755,5,"Eliza, Eliza Bennet, Elizabeth, Elizabeth Bennet, Lizzy",Female,Female,Female
Mr_Darcy,422,2,"Darcy, Fitzwilliam Darcy",Male,Male,Male
Mrs_Bennet,319,1,Bennet,Female,Female,Female
Mr_Bingley,306,1,Bingley,Male,Male,Male
Jane_Bennet,295,1,Jane,Female,Female,Female
Mr_Wickham,198,3,"George, George Wickham, Wickham",Male,Male,Male
Collins,189,1,Collins,,Unknown,Unknown
Lydia_Bennet,175,3,"LYDIA BENNET, Lydia, Lydia Bennet",Female,Female,Female
Lady_Catherine,116,1,Catherine,Female,Female,Female
Gardiner,94,1,Gardiner,,Unknown,Unknown
Charlotte,87,2,"Charlotte, Charlotte Lucas",Female,Female,Female
Kitty_Bennet,71,1,Kitty,Female,Female,Female
Lucas,44,1,Lucas,,Unknown,Unknown
Mary_Bennet,39,1,Mary,Female,Female,Female
Forster,39,1,Forster,,Unknown,Unknown
Fitzwilliam,35,1,Fitzwilliam,,Unknown,Unknown
Philips,34,1,Philips,,Unknown,Unknown
Hurst,33,1,Hurst,,Unknown,Unknown
William,32,1,William,,Male,Male
Austen,25,1,Austen,,Unknown,Unknown
Pemberley,18,1,Pemberley,,Unknown,Unknown
maria,18,1,Maria,,Female,Female
Caroline_Bingley,17,3,"CAROLINE BINGLEY, Caroline, Caroline Bingley",Female,Female,Female
Long,15,1,Long,,Unknown,Unknown
Lucases,15,1,Lucases,,Unknown,Unknown
Longbourn,15,1,Longbourn,,Unknown,Unknown
Georgiana,14,1,Georgiana,,Female,Female
Netherfield,13,1,Netherfield,,Unknown,Unknown
de Bourgh,13,1,de Bourgh,,Unknown,Unknown
Catherine de Bourgh,13,1,Catherine de Bourgh,,Unknown,Unknown
Denny,12,1,Denny,,Unknown,Unknown
De Bourgh,11,1,De Bourgh,,Unknown,Unknown
Bennets,10,1,Bennets,,Unknown,Unknown
Reynolds,10,1,Reynolds,,Unknown,Unknown
William Lucas,9,1,William Lucas,,Unknown,Unknown
Jenkinson,9,1,Jenkinson,,Unknown,Unknown
Hill,8,1,Hill,,Unknown,Unknown
Charles,7,1,Charles,,Male,Male
Mr.,7,1,Mr.,,Unknown,Unknown
Hunsford,6,1,Hunsford,,Unknown,Unknown
Collinses,6,1,Collinses,,Unknown,Unknown
Louisa_Hurst,6,1,Louisa,Female,Female,Female
Bingleys,6,1,Bingleys,,Unknown,Unknown
Mrs.,5,1,Mrs.,,Unknown,Unknown
Jones,5,1,Jones,,Unknown,Unknown
Rosings,5,1,Rosings,,Unknown,Unknown
F.,5,1,F.,,Unknown,Unknown
Gardiners,5,1,Gardiners,,Unknown,Unknown
King,5,1,King,,Unknown,Unknown
Addison,5,1,Addison,,Unknown,Unknown
Anne,4,1,Anne,,Female,Female
Carter,4,1,Carter,,Unknown,Unknown
Younge,4,1,Younge,,Unknown,Unknown
Fielding,4,1,Fielding,,Unknown,Unknown
Robinson,3,1,Robinson,,Male,Male
Annesley,3,1,Annesley,,Unknown,Unknown
Emma,3,1,Emma,,Female,Female
Swift,3,1,Swift,,Unknown,Unknown
Lewis de Bourgh,3,1,Lewis de Bourgh,,Unknown,Unknown
Mamma,2,1,Mamma,,Unknown,Unknown
Fanny,2,1,Fanny,,Female,Female
Norris,2,1,Norris,,Unknown,Unknown
Eltons,2,1,Eltons,,Unknown,Unknown
Crawford,2,1,Crawford,,Unknown,Unknown
La,2,1,La,,Unknown,Unknown
Harriet,2,1,Harriet,,Female,Female
GARDINER,2,1,GARDINER,,Unknown,Unknown
Gouldings,2,1,Gouldings,,Unknown,Unknown
Pratt,2,1,Pratt,,Unknown,Unknown
Mary King,2,1,Mary King,,Unknown,Unknown
Ladyship,2,1,Ladyship,,Unknown,Unknown
Philipses,2,1,Philipses,,Unknown,Unknown
Haggerston,2,1,Haggerston,,Unknown,Unknown
