canonical_key,total_mentions,variation_count,variations,gender_from_xml,classified_gender,final_gender,contextual_gender,male_pronouns,female_pronouns,context_mentions,final_gender_contextual
Elizabeth_Bennet,755,5,"Eliza, Eliza Bennet, Elizabeth, Elizabeth Bennet, Lizzy",Female,Female,Female,Unknown,0,0,0,Female
Mr_Darcy,422,2,"Darcy, Fitzwilliam Darcy",Male,Male,Male,Unknown,0,0,0,Male
Mrs_Bennet,319,1,Bennet,Female,Female,Female,Unknown,0,0,0,Female
Mr_Bingley,306,1,Bingley,Male,Male,Male,Unknown,0,0,0,Male
Jane_Bennet,295,1,Jane,Female,Female,Female,Unknown,0,0,0,Female
Mr_Wickham,198,3,"George, George Wickham, Wickham",Male,Male,Male,Unknown,0,0,0,Male
Collins,189,1,Collins,,Unknown,Unknown,Male,191,190,190,Male
Lydia_Bennet,175,3,"LYDIA BENNET, Lydia, Lydia Bennet",Female,Female,Female,Unknown,0,0,0,Female
Lady_Catherine,116,1,Catherine,Female,Female,Female,Unknown,0,0,0,Female
Gardiner,94,1,Gardiner,,Unknown,Unknown,Female,72,95,97,Female
Charlotte,87,2,"Charlotte, Charlotte Lucas",Female,Female,Female,Unknown,0,0,0,Female
Kitty_Bennet,71,1,Kitty,Female,Female,Female,Unknown,0,0,0,Female
Lucas,44,1,Lucas,,Unknown,Unknown,Female,89,90,71,Female
Mary_Bennet,39,1,Mary,Female,Female,Female,Unknown,0,0,0,Female
Forster,39,1,Forster,,Unknown,Unknown,Female,28,30,39,Female
Fitzwilliam,35,1,Fitzwilliam,,Unknown,Unknown,Male,42,41,37,Male
Philips,34,1,Philips,,Unknown,Unknown,Female,39,40,34,Female
Hurst,33,1,Hurst,,Unknown,Unknown,Female,18,29,33,Female
William,32,1,William,,Male,Male,Unknown,0,0,0,Male
Austen,25,1,Austen,,Unknown,Unknown,Female,12,25,28,Female
Pemberley,18,1,Pemberley,,Unknown,Unknown,Unknown,0,0,0,Unknown
maria,18,1,Maria,,Female,Female,Unknown,0,0,0,Female
Caroline_Bingley,17,3,"CAROLINE BINGLEY, Caroline, Caroline Bingley",Female,Female,Female,Unknown,0,0,0,Female
Long,15,1,Long,,Unknown,Unknown,Female,87,104,118,Female
Lucases,15,1,Lucases,,Unknown,Unknown,Female,8,9,15,Female
Longbourn,15,1,Longbourn,,Unknown,Unknown,Unknown,0,0,0,Unknown
Georgiana,14,1,Georgiana,,Female,Female,Unknown,0,0,0,Female
Netherfield,13,1,Netherfield,,Unknown,Unknown,Unknown,0,0,0,Unknown
de Bourgh,13,1,de Bourgh,,Unknown,Unknown,Female,46,50,41,Female
Catherine de Bourgh,13,1,Catherine de Bourgh,,Unknown,Unknown,Male,27,21,15,Male
Denny,12,1,Denny,,Unknown,Unknown,Male,16,3,12,Male
De Bourgh,11,1,De Bourgh,,Unknown,Unknown,Female,46,50,41,Female
Bennets,10,1,Bennets,,Unknown,Unknown,Female,1,8,10,Female
Reynolds,10,1,Reynolds,,Unknown,Unknown,Female,7,10,10,Female
Jenkinson,9,1,Jenkinson,,Unknown,Unknown,Female,0,15,9,Female
William Lucas,9,1,William Lucas,,Unknown,Unknown,Male,14,4,10,Male
Hill,8,1,Hill,,Unknown,Unknown,Female,0,5,11,Female
Charles,7,1,Charles,,Male,Male,Unknown,0,0,0,Male
Mr.,7,1,Mr.,,Unknown,Unknown,Unknown,0,0,0,Unknown
Hunsford,6,1,Hunsford,,Unknown,Unknown,Unknown,0,0,0,Unknown
Collinses,6,1,Collinses,,Unknown,Unknown,Female,3,4,6,Female
Louisa_Hurst,6,1,Louisa,Female,Female,Female,Unknown,0,0,0,Female
Bingleys,6,1,Bingleys,,Unknown,Unknown,Female,13,14,6,Female
Mrs.,5,1,Mrs.,,Unknown,Unknown,Unknown,0,0,0,Unknown
Jones,5,1,Jones,,Unknown,Unknown,Female,3,10,5,Female
Rosings,5,1,Rosings,,Unknown,Unknown,Unknown,0,0,0,Unknown
F.,5,1,F.,,Unknown,Unknown,Unknown,0,0,0,Unknown
Gardiners,5,1,Gardiners,,Unknown,Unknown,Male,3,1,8,Male
King,5,1,King,,Unknown,Unknown,Male,8,3,8,Male
Addison,5,1,Addison,,Unknown,Unknown,Female,0,2,5,Female
Fielding,4,1,Fielding,,Unknown,Unknown,Unknown,0,1,4,Unknown
Younge,4,1,Younge,,Unknown,Unknown,Female,8,9,4,Female
Carter,4,1,Carter,,Unknown,Unknown,Unknown,3,3,4,Unknown
Anne,4,1,Anne,,Female,Female,Unknown,0,0,0,Female
Robinson,3,1,Robinson,,Male,Male,Unknown,0,0,0,Male
