canonical_key,total_mentions,variation_count,variations,classified_gender,final_gender,contextual_gender,male_pronouns,female_pronouns,context_mentions,final_gender_contextual
Elizabeth,608,1,['Elizabeth'],Female,Female,Unknown,0,0,0,Female
Jane,295,1,['Jane'],Female,Female,Unknown,0,0,0,Female
Darcy,252,1,[' Darcy'],Unknown,Unknown,Female,410,465,429,Female
Bennet,226,1,[' Bennet'],Unknown,Unknown,Female,229,272,336,Female
Bingley,218,2,"['Bingley', 'Miss Bingley']",Unknown,Unknown,Female,266,318,309,Female
Darcy,193,2,"['Darcy', 'Miss Darcy']",Unknown,Unknown,Female,410,465,429,Female
Collins,178,1,[' Collins'],Unknown,Unknown,Male,191,190,190,Male
Lydia,172,2,"['Lydia', 'Miss Lydia']",Female,Female,Unknown,0,0,0,Female
Wickham,141,1,['Wickham'],Unknown,Unknown,Male,242,184,200,Male
Miss_Bennet,123,2,"['Bennet', 'Miss Bennet']",Female,Female,Unknown,0,0,0,Female
Lizzy,103,3,"['Lizzie', 'Lizzy', 'Miss Elizabeth']",Female,Female,Unknown,0,0,0,Female
Lady_Catherine,101,1,['Lady Catherine'],Female,Female,Unknown,0,0,0,Female
Bingley,99,1,[' Bingley'],Unknown,Unknown,Female,266,318,309,Female
Gardiner,80,1,[' Gardiner'],Unknown,Unknown,Female,72,95,97,Female
Charlotte,79,1,['Charlotte'],Female,Female,Unknown,0,0,0,Female
Kitty,72,1,['Kitty'],Female,Female,Unknown,0,0,0,Female
Wickham,63,1,[' Wickham'],Unknown,Unknown,Male,242,184,200,Male
Mary,62,2,"['Maria', 'Mary']",Female,Female,Unknown,0,0,0,Female
Miss_Lucas,42,2,"['Lady Lucas', 'Miss Lucas']",Female,Female,Unknown,0,0,0,Female
Colonel_Fitzwilliam,37,2,"['Colonel Fitzwilliam', 'Fitzwilliam']",Male,Male,Unknown,0,0,0,Male
Colonel_Forster,34,2,"['Colonel Forster', 'Forster']",Male,Male,Unknown,0,0,0,Male
Sir_William,33,2,"['Bell', 'Sir William']",Male,Male,Unknown,0,0,0,Male
Hurst,32,1,[' Hurst'],Unknown,Unknown,Female,18,29,33,Female
Catherine,31,1,['Catherine'],Female,Female,Unknown,0,0,0,Female
Gardiner,27,1,['Gardiner'],Unknown,Unknown,Female,72,95,97,Female
Collins,27,1,['Collins'],Unknown,Unknown,Male,191,190,190,Male
Miss_Austen,26,2,"['Austen', 'Miss Austen']",Female,Female,Unknown,0,0,0,Female
Philips,25,1,[' Philips'],Unknown,Unknown,Female,39,40,34,Female
Miss_De_Bourgh,22,3,"['De Bourgh', 'Miss De Bourgh', 'Miss de Bourgh']",Female,Female,Unknown,0,0,0,Female
