rank,name
1,mary
2,elizabeth
3,sarah
4,ann
5,jane
6,emma
7,eliza
8,ellen
9,margaret
10,hannah
11,emily
12,martha
13,alice
14,harriet
15,maria
16,louisa
17,fanny
18,charlotte
19,caroline
20,catherine
21,frances
22,isabella
23,anne
24,lucy
25,amelia
26,susan
27,esther
28,rebecca
29,susannah
30,eleanor
31,matilda
32,clara
33,agnes
34,julia
35,catharine
36,harriett
37,anna
38,rachel
39,lydia
40,sophia
41,susanna
42,betsy
43,ruth
44,selina
45,grace
46,kate
47,annie
48,helen
49,nancy
50,henrietta
51,phoebe
52,rose
53,betsey
54,jemima
55,betty
56,edith
57,priscilla
58,laura
59,jessie
60,rosa
61,bridget
62,amy
63,dorothy
64,dinah
65,lavinia
66,rhoda
67,ada
68,rosina
69,harriot
70,georgiana
71,adelaide
72,phebe
73,barbara
74,florence
75,hester
76,christiana
77,ellin
78,rosanna
79,marian
80,leah
81,georgina
82,naomi
82,miriam
84,isabel
85,rosetta
86,rachael
87,kezia
88,mercy
89,janet
90,angelina
91,thirza
92,augusta
93,letitia
94,harriott
95,joanna
96,helena
97,bertha
98,sally
99,deborah
100,jennet
101,johanna
102,sabina
103,teresa
103,gertrude
105,theresa
106,cecilia
106,phillis
106,bessy
109,abigail
110,celia
111,marianne
112,katherine
113,nanny
113,flora
113,prudence
116,annis
116,olive
116,patience
119,diana
120,marion
121,winifred
122,clarissa
123,dorcas
124,gwenllian
124,agness
125,constance
127,judith
127,arabella
129,hephzibah
130,elinor
131,adah
131,honor
133,selena
134,amanda
135,rosannah
136,lois
136,pamela
138,adeline
139,cordelia
139,margery
141,blanche
141,ellenor
143,keziah
143,kitty
143,zillah
146,josephine
147,emely
148,emmeline
148,katharine
150,margaretta
150,tabitha
152,annette
153,lavina
154,charity
154,victoria
156,eunice
157,jessey
157,mahala
157,rosena
157,tamar
161,bessey
161,faith
161,hellen
161,jenny
161,lettice
161,tryphena
167,drusilla
167,edna
167,levina
170,elenor
170,honora
172,bessie
172,elisabeth
172,lizzy
172,olivia
176,lucretia
177,ellinor
177,margarett
179,marie
180,dora
180,emeline
180,gwen
180,juliana
180,millicent
185,cecelia
185,rosamond
187,kathleen
187,mildred
189,adela
189,christina
191,cicely
191,georgianna
191,leonora
191,louise
191,myra
196,beatrice
196,maud
196,penelope
196,philippa
200,blanch
200,joan
200,thomasin
