canonical_key,total_mentions,variation_count,variations
Lucy,240,1,['Lucy']
Van_Helsing,215,1,['Van Helsing']
Mina,197,2,"['MINA', 'Mina']"
Jonathan,178,3,"[' Jonathan', 'JONATHAN', 'Jonathan']"
Arthur,154,3,"['Art', 'Arthur', 'Lord Arthur']"
Professor,117,1,['Professor']
Lord_Godalming,90,2,"['Godalming', 'Lord Godalming']"
Seward,84,1,[' Seward']
Harker,66,1,[' Harker']
God,66,1,['God']
John,62,2,"['JOHN', 'John']"
Van_Helsing,52,1,[' Van Helsing']
Van,50,1,['Van']
Quincey,48,1,['Quincey']
Harker,46,1,['Harker']
Renfield,36,1,['Renfield']
Seward,32,1,['Seward']
Morris,32,1,[' Morris']
Jonathan_Harker,24,1,['Jonathan Harker']
Miss_Lucy,21,1,['Miss Lucy']
Quincey_Morris,20,1,['Quincey Morris']
Count,20,1,['Count']
Morris,19,1,['Morris']
Lucy_Westenra,16,2,"['Lucy Westenra', 'Miss Lucy Westenra']"
Mina_Harker,16,1,['Mina Harker']
Westenra,15,3,"['Miss Westenra', 'Mrs. Westenra', 'Westenra']"
Westenra,14,1,[' Westenra']
Madam,14,1,['Madam']
Hawkins,13,1,[' Hawkins']
Dracula,11,1,['Dracula']
Mina_Murray,10,2,"['Mina Murray', 'Miss Mina Murray']"
Arthur_Holmwood,10,1,['Arthur Holmwood']
Czarina,10,1,['Czarina']
Count_Dracula,9,1,['Count Dracula']
Professor_Van_Helsing,9,1,['Professor Van Helsing']
Skinsky,9,1,['Skinsky']
Hawkins,8,1,['Hawkins']
Renfield,8,1,[' Renfield']
Jack,8,1,['Jack']
Galatz,8,1,['Galatz']
Peter_Hawkins,6,1,['Peter Hawkins']
Holmwood,6,1,[' Holmwood']
Bersicker,6,1,['Bersicker']
Murray,5,2,"['Miss Murray', 'Murray']"
John_Seward,5,1,['John Seward']
Swales,5,1,[' Swales']
Billington,4,1,[' Billington']
Czarina_Catherine,4,1,['Czarina Catherine']
Catherine,4,1,['Catherine']
Billington,3,1,['Billington']
Kettleness,3,1,['Kettleness']
Whitby,3,1,['Whitby']
Sister_Agatha,3,1,['Sister Agatha']
Helsing,3,1,['Helsing']
Nature,3,1,['Nature']
Thomas,3,1,['Thomas']
Bilder,3,1,[' Bilder']
Piccadilly,3,1,['Piccadilly']
Carfax,3,1,['Carfax']
Quincey_Morris,3,1,[' Quincey Morris']
Smollet,3,1,['Smollet']
Enoch,3,1,['Enoch']
Varna,3,1,['Varna']
Madam_Mina,3,1,['Madam Mina']
Deil,3,1,['Deil']
Hildesheim,3,1,['Hildesheim']
Bram_Stoker,2,1,['Bram Stoker']
