canonical_key,total_mentions,variation_count,variations,classified_gender,final_gender,contextual_gender,male_pronouns,female_pronouns,context_mentions,final_gender_contextual
Lucy,240,1,['Lucy'],Female,Female,Unknown,0,0,0,Female
Van_Helsing,215,1,['Van Helsing'],Unknown,Unknown,Unknown,0,0,0,Unknown
Mina,197,2,"['MINA', 'Mina']",Unknown,Unknown,Male,88,79,228,Male
Jonathan,178,3,"[' Jonathan', 'JONATHAN', 'Jonathan']",Male,Male,Unknown,0,0,0,Male
Arthur,154,3,"['Art', 'Arthur', 'Lord Arthur']",Male,Male,Unknown,0,0,0,Male
Professor,117,1,['Professor'],Unknown,Unknown,Male,127,29,174,Male
Lord_Godalming,90,2,"['Godalming', 'Lord Godalming']",Male,Male,Unknown,0,0,0,Male
Seward,84,1,[' Seward'],Unknown,Unknown,Male,71,7,139,Male
Harker,66,1,[' Harker'],Unknown,Unknown,Male,96,52,175,Male
God,66,1,['God'],Unknown,Unknown,Male,87,43,177,Male
John,62,2,"['JOHN', 'John']",Male,Male,Unknown,0,0,0,Male
Van_Helsing,52,1,[' Van Helsing'],Unknown,Unknown,Unknown,0,0,0,Unknown
Van,50,1,['Van'],Unknown,Unknown,Male,230,96,323,Male
Quincey,48,1,['Quincey'],Unknown,Unknown,Male,59,5,85,Male
Harker,46,1,['Harker'],Unknown,Unknown,Male,96,52,175,Male
Renfield,36,1,['Renfield'],Unknown,Unknown,Male,46,3,48,Male
Seward,32,1,['Seward'],Unknown,Unknown,Male,71,7,139,Male
Morris,32,1,[' Morris'],Male,Male,Unknown,0,0,0,Male
Jonathan_Harker,24,1,['Jonathan Harker'],Male,Male,Unknown,0,0,0,Male
Miss_Lucy,21,1,['Miss Lucy'],Female,Female,Unknown,0,0,0,Female
Count,20,1,['Count'],Unknown,Unknown,Male,179,40,198,Male
Quincey_Morris,20,1,['Quincey Morris'],Unknown,Unknown,Unknown,0,0,0,Unknown
Morris,19,1,['Morris'],Male,Male,Unknown,0,0,0,Male
Lucy_Westenra,16,2,"['Lucy Westenra', 'Miss Lucy Westenra']",Female,Female,Unknown,0,0,0,Female
Mina_Harker,16,1,['Mina Harker'],Unknown,Unknown,Unknown,0,0,0,Unknown
Westenra,15,3,"['Miss Westenra', 'Mrs. Westenra', 'Westenra']",Unknown,Unknown,Male,17,15,45,Male
Westenra,14,1,[' Westenra'],Unknown,Unknown,Male,17,15,45,Male
Madam,14,1,['Madam'],Female,Female,Unknown,0,0,0,Female
Hawkins,13,1,[' Hawkins'],Unknown,Unknown,Male,40,2,25,Male
Dracula,11,1,['Dracula'],Unknown,Unknown,Male,41,0,36,Male
Czarina,10,1,['Czarina'],Unknown,Unknown,Unknown,0,0,0,Unknown
Arthur_Holmwood,10,1,['Arthur Holmwood'],Male,Male,Unknown,0,0,0,Male
Mina_Murray,10,2,"['Mina Murray', 'Miss Mina Murray']",Unknown,Unknown,Unknown,0,0,0,Unknown
Count_Dracula,9,1,['Count Dracula'],Unknown,Unknown,Unknown,0,0,0,Unknown
Professor_Van_Helsing,9,1,['Professor Van Helsing'],Unknown,Unknown,Unknown,0,0,0,Unknown
Skinsky,9,1,['Skinsky'],Unknown,Unknown,Male,9,0,12,Male
Hawkins,8,1,['Hawkins'],Unknown,Unknown,Male,40,2,25,Male
Renfield,8,1,[' Renfield'],Unknown,Unknown,Male,46,3,48,Male
Jack,8,1,['Jack'],Unknown,Unknown,Male,11,3,16,Male
Galatz,8,1,['Galatz'],Unknown,Unknown,Male,22,0,18,Male
Bersicker,6,1,['Bersicker'],Unknown,Unknown,Male,8,0,9,Male
Peter_Hawkins,6,1,['Peter Hawkins'],Male,Male,Unknown,0,0,0,Male
Holmwood,6,1,[' Holmwood'],Unknown,Unknown,Male,14,9,18,Male
John_Seward,5,1,['John Seward'],Male,Male,Unknown,0,0,0,Male
Swales,5,1,[' Swales'],Unknown,Unknown,Male,7,0,6,Male
Murray,5,2,"['Miss Murray', 'Murray']",Unknown,Unknown,Female,0,6,15,Female
Billington,4,1,[' Billington'],Unknown,Unknown,Male,5,0,9,Male
Czarina_Catherine,4,1,['Czarina Catherine'],Unknown,Unknown,Unknown,0,0,0,Unknown
Catherine,4,1,['Catherine'],Female,Female,Unknown,0,0,0,Female
Piccadilly,3,1,['Piccadilly'],Unknown,Unknown,Male,14,1,22,Male
Hildesheim,3,1,['Hildesheim'],Unknown,Unknown,Male,3,0,5,Male
Deil,3,1,['Deil'],Unknown,Unknown,Male,3,0,5,Male
Madam_Mina,3,1,['Madam Mina'],Female,Female,Unknown,0,0,0,Female
Varna,3,1,['Varna'],Unknown,Unknown,Male,18,5,23,Male
Smollet,3,1,['Smollet'],Unknown,Unknown,Male,5,1,7,Male
Quincey_Morris,3,1,[' Quincey Morris'],Unknown,Unknown,Unknown,0,0,0,Unknown
Carfax,3,1,['Carfax'],Unknown,Unknown,Male,20,2,24,Male
Enoch,3,1,['Enoch'],Male,Male,Unknown,0,0,0,Male
Bilder,3,1,[' Bilder'],Unknown,Unknown,Male,9,0,6,Male
Nature,3,1,['Nature'],Unknown,Unknown,Male,27,11,38,Male
Helsing,3,1,['Helsing'],Unknown,Unknown,Male,230,96,323,Male
Sister_Agatha,3,1,['Sister Agatha'],Unknown,Unknown,Unknown,0,0,0,Unknown
Whitby,3,1,['Whitby'],Unknown,Unknown,Male,33,8,40,Male
Kettleness,3,1,['Kettleness'],Unknown,Unknown,Unknown,0,1,5,Unknown
Billington,3,1,['Billington'],Unknown,Unknown,Male,5,0,9,Male
Thomas,3,1,['Thomas'],Male,Male,Unknown,0,0,0,Male
Devil,2,1,['Devil'],Unknown,Unknown,Male,29,7,15,Male
Sam_Bloxam,2,1,['Sam Bloxam'],Male,Male,Unknown,0,0,0,Male
Sam,2,1,['Sam'],Male,Male,Unknown,0,0,0,Male
Potter,2,1,['Potter'],Unknown,Unknown,Unknown,0,0,2,Unknown
Corcoran,2,1,['Corcoran'],Unknown,Unknown,Male,2,0,2,Male
Doctor,2,1,['Doctor'],Unknown,Unknown,Male,24,12,29,Male
D,2,2,"['D', 'd']",Unknown,Unknown,Unknown,0,0,0,Unknown
Captain_Donelson,2,2,"['Captain Donelson', 'Donelson']",Male,Male,Unknown,0,0,0,Male
Winchesters,2,1,['Winchesters'],Unknown,Unknown,Unknown,0,0,4,Unknown
Rufus,2,1,['Rufus'],Unknown,Unknown,Unknown,0,0,0,Unknown
Smith,2,1,['Smith'],Male,Male,Unknown,0,0,0,Male
Petrof_Skinsky,2,1,['Petrof Skinsky'],Unknown,Unknown,Unknown,0,0,0,Unknown
Szgany,2,1,['Szgany'],Unknown,Unknown,Male,6,0,13,Male
Carter_Paterson,2,1,['Carter Paterson'],Unknown,Unknown,Unknown,0,0,0,Unknown
Arminius,2,1,['Arminius'],Unknown,Unknown,Male,3,0,2,Male
Jack_Seward,2,1,['Jack Seward'],Unknown,Unknown,Unknown,0,0,0,Unknown
Vincent,2,1,['Vincent'],Male,Male,Unknown,0,0,0,Male
Death,2,1,['Death'],Unknown,Unknown,Male,49,40,95,Male
Abraham,2,1,['Abraham'],Male,Male,Unknown,0,0,0,Male
Hamlet,2,1,['Hamlet'],Unknown,Unknown,Unknown,1,0,2,Unknown
Shakespeare,2,1,['Shakespeare'],Unknown,Unknown,Unknown,1,0,2,Unknown
Quincey_P._Morris,2,1,['Quincey P. Morris'],Unknown,Unknown,Unknown,0,0,0,Unknown
Sir_John_Paxton,2,2,"['John Paxton', 'Sir John Paxton']",Male,Male,Unknown,0,0,0,Male
Hon,2,1,['Hon'],Unknown,Unknown,Unknown,1,0,4,Unknown
Thor,2,1,['Thor'],Unknown,Unknown,Male,2,0,2,Male
Wilhelmina,2,1,['Wilhelmina'],Unknown,Unknown,Male,8,0,4,Male
Lor,2,1,['Lor'],Unknown,Unknown,Male,3,2,4,Male
Mother,2,1,['Mother'],Unknown,Unknown,Female,36,69,51,Female
