canonical_key,total_mentions,variations,final_gender_contextual,coref_gender
Lucy,240,['Lucy'],Female,Female
Van_Helsing,215,['Van Helsing'],Unknown,Unknown
Mina,197,"['MINA', 'Mina']",Male,Male
Jonathan,178,"[' Jonathan', 'JONATHAN', 'Jonathan']",Male,Male
Arthur,154,"['Art', 'Arthur', 'Lord Arthur']",Male,Male
Professor,117,['Professor'],Male,Male
Lord_Godalming,90,"['Godalming', 'Lord Godalming']",Male,Male
Seward,84,[' Seward'],Male,Male
Harker,66,[' Harker'],Male,Male
God,66,['God'],Male,Male
John,62,"['JOHN', 'John']",Male,Male
Van_Helsing,52,[' Van Helsing'],Unknown,Unknown
Van,50,['Van'],Male,Male
Quincey,48,['Quincey'],Male,Male
Harker,46,['Harker'],Male,Male
Renfield,36,['Renfield'],Male,Male
Seward,32,['Seward'],Male,Male
Morris,32,[' Morris'],Male,Male
Jonathan_Harker,24,['Jonathan Harker'],Male,Male
Miss_Lucy,21,['Miss Lucy'],Female,Female
Quincey_Morris,20,['Quincey Morris'],Unknown,Unknown
Count,20,['Count'],Male,Male
Morris,19,['Morris'],Male,Male
Lucy_Westenra,16,"['Lucy Westenra', 'Miss Lucy Westenra']",Female,Female
Mina_Harker,16,['Mina Harker'],Unknown,Unknown
Westenra,15,"['Miss Westenra', 'Mrs. Westenra', 'Westenra']",Male,Male
Westenra,14,[' Westenra'],Male,Male
Madam,14,['Madam'],Female,Female
Hawkins,13,[' Hawkins'],Male,Male
Dracula,11,['Dracula'],Male,Male
Mina_Murray,10,"['Mina Murray', 'Miss Mina Murray']",Unknown,Unknown
Arthur_Holmwood,10,['Arthur Holmwood'],Male,Male
Czarina,10,['Czarina'],Unknown,Unknown
Count_Dracula,9,['Count Dracula'],Unknown,Unknown
Professor_Van_Helsing,9,['Professor Van Helsing'],Unknown,Unknown
Skinsky,9,['Skinsky'],Male,Male
Hawkins,8,['Hawkins'],Male,Male
Renfield,8,[' Renfield'],Male,Male
Jack,8,['Jack'],Male,Male
Galatz,8,['Galatz'],Male,Male
Holmwood,6,[' Holmwood'],Male,Male
Bersicker,6,['Bersicker'],Male,Male
Peter_Hawkins,6,['Peter Hawkins'],Male,Male
Swales,5,[' Swales'],Male,Male
