canonical_key,total_mentions,variation_count,variations
Emma,844,1,['Emma']
Harriet,476,1,['Harriet']
Weston,382,1,[' Weston']
Elton,347,1,[' Elton']
Knightley,275,1,[' Knightley']
Miss_Woodhouse,211,2,"['Miss Woodhouse', 'Woodhouse']"
Jane,197,1,['Jane']
Miss_Fairfax,141,2,"['Fairfax', 'Miss Fairfax']"
Miss_Bates,130,2,"['Bates', 'Miss Bates']"
Woodhouse,120,1,[' Woodhouse']
Frank_Churchill,120,1,['Frank Churchill']
Weston,110,3,"['Captain Weston', 'Miss Weston', 'Weston']"
Jane_Fairfax,107,1,['Jane Fairfax']
Knightley,90,1,['Knightley']
Frank,85,1,['Frank']
Perry,85,2,"[' Perry', 'Perry']"
Elton,82,1,['Elton']
Cole,70,2,"[' Cole', 'Cole']"
Isabella,66,1,['Isabella']
Miss_Smith,62,2,"['Miss Smith', 'Smith']"
Churchill,58,1,[' Churchill']
Goddard,52,1,[' Goddard']
Miss_Taylor,48,2,"['Miss Taylor', 'Taylor']"
Churchill,47,2,"['Churchill', 'Miss Churchill']"
Hartfield,45,1,['Hartfield']
Colonel_Campbell,43,3,"['Campbell', 'Colonel Campbell', 'Miss Campbell']"
Randalls,42,1,['Randalls']
Martin,40,1,[' Martin']
John,36,1,['John']
Dixon,36,1,[' Dixon']
John_Knightley,33,1,['John Knightley']
Harriet_Smith,29,2,"['Harriet Smith', 'Miss Harriet Smith']"
Robert_Martin,28,1,['Robert Martin']
Campbells,25,1,['Campbells']
Bates,24,1,[' Bates']
Henry,23,1,['Henry']
John_Knightley,22,1,[' John Knightley']
Martin,21,2,"['Martin', 'Miss Martin']"
Miss_Hawkins,21,2,"['Hawkins', 'Miss Hawkins']"
Enscombe,20,1,['Enscombe']
Eltons,20,1,['Eltons']
Donwell,19,1,['Donwell']
James,18,1,['James']
Dixon,17,1,['Dixon']
Frank_Churchill,16,1,[' Frank Churchill']
Coles,16,1,['Coles']
Churchills,15,2,"['Churchills', 'Mr. Churchills']"
Goddard,15,1,['Goddard']
Highbury,14,1,['Highbury']
Miss_Nash,14,2,"['Miss Nash', 'Nash']"
William_Larkins,13,1,['William Larkins']
Suckling,13,1,[' Suckling']
Patty,12,1,['Patty']
Crown,11,1,['Crown']
Martins,10,2,"['Martins', 'Miss Martins']"
Ford,10,2,"[' Ford', 'Ford']"
Selina,10,1,['Selina']
E,10,1,['E']
Wingfield,9,1,[' Wingfield']
