canonical_key,total_mentions,variation_count,variations,classified_gender,final_gender,contextual_gender,male_pronouns,female_pronouns,context_mentions,final_gender_contextual
Emma,844,1,['Emma'],Female,Female,Unknown,0,0,0,Female
Harriet,476,1,['Harriet'],Female,Female,Unknown,0,0,0,Female
Weston,382,1,[' Weston'],Unknown,Unknown,Female,295,394,439,Female
Elton,347,1,[' Elton'],Unknown,Unknown,Female,247,406,386,Female
Knightley,275,1,[' Knightley'],Unknown,Unknown,Female,317,421,389,Female
Miss_Woodhouse,211,2,"['Miss Woodhouse', 'Woodhouse']",Female,Female,Unknown,0,0,0,Female
Jane,197,1,['Jane'],Female,Female,Unknown,0,0,0,Female
Miss_Fairfax,141,2,"['Fairfax', 'Miss Fairfax']",Female,Female,Unknown,0,0,0,Female
Miss_Bates,130,2,"['Bates', 'Miss Bates']",Female,Female,Unknown,0,0,0,Female
Woodhouse,120,1,[' Woodhouse'],Unknown,Unknown,Male,253,246,314,Male
Frank_Churchill,120,1,['Frank Churchill'],Male,Male,Unknown,0,0,0,Male
Weston,110,3,"['Captain Weston', 'Miss Weston', 'Weston']",Unknown,Unknown,Female,295,394,439,Female
Jane_Fairfax,107,1,['Jane Fairfax'],Female,Female,Unknown,0,0,0,Female
Knightley,90,1,['Knightley'],Unknown,Unknown,Female,317,421,389,Female
Perry,85,2,"[' Perry', 'Perry']",Unknown,Unknown,Male,78,70,80,Male
Frank,85,1,['Frank'],Male,Male,Unknown,0,0,0,Male
Elton,82,1,['Elton'],Unknown,Unknown,Female,247,406,386,Female
Cole,70,2,"[' Cole', 'Cole']",Unknown,Unknown,Female,48,57,61,Female
Isabella,66,1,['Isabella'],Female,Female,Unknown,0,0,0,Female
Miss_Smith,62,2,"['Miss Smith', 'Smith']",Female,Female,Unknown,0,0,0,Female
Churchill,58,1,[' Churchill'],Unknown,Unknown,Female,194,206,224,Female
Goddard,52,1,[' Goddard'],Unknown,Unknown,Female,55,134,59,Female
Miss_Taylor,48,2,"['Miss Taylor', 'Taylor']",Female,Female,Unknown,0,0,0,Female
Churchill,47,2,"['Churchill', 'Miss Churchill']",Unknown,Unknown,Female,194,206,224,Female
Hartfield,45,1,['Hartfield'],Unknown,Unknown,Female,196,202,160,Female
Colonel_Campbell,43,3,"['Campbell', 'Colonel Campbell', 'Miss Campbell']",Male,Male,Unknown,0,0,0,Male
Randalls,42,1,['Randalls'],Unknown,Unknown,Female,91,95,90,Female
Martin,40,1,[' Martin'],Male,Male,Unknown,0,0,0,Male
Dixon,36,1,[' Dixon'],Unknown,Unknown,Female,17,64,44,Female
John,36,1,['John'],Male,Male,Unknown,0,0,0,Male
John_Knightley,33,1,['John Knightley'],Male,Male,Unknown,0,0,0,Male
Harriet_Smith,29,2,"['Harriet Smith', 'Miss Harriet Smith']",Female,Female,Unknown,0,0,0,Female
Robert_Martin,28,1,['Robert Martin'],Male,Male,Unknown,0,0,0,Male
Campbells,25,1,['Campbells'],Unknown,Unknown,Female,3,34,26,Female
Bates,24,1,[' Bates'],Unknown,Unknown,Female,76,177,148,Female
Henry,23,1,['Henry'],Male,Male,Unknown,0,0,0,Male
John_Knightley,22,1,[' John Knightley'],Male,Male,Unknown,0,0,0,Male
Martin,21,2,"['Martin', 'Miss Martin']",Male,Male,Unknown,0,0,0,Male
Miss_Hawkins,21,2,"['Hawkins', 'Miss Hawkins']",Female,Female,Unknown,0,0,0,Female
Enscombe,20,1,['Enscombe'],Unknown,Unknown,Male,34,28,36,Male
Eltons,20,1,['Eltons'],Unknown,Unknown,Female,7,27,22,Female
Donwell,19,1,['Donwell'],Unknown,Unknown,Female,48,56,49,Female
James,18,1,['James'],Male,Male,Unknown,0,0,0,Male
Dixon,17,1,['Dixon'],Unknown,Unknown,Female,17,64,44,Female
Frank_Churchill,16,1,[' Frank Churchill'],Male,Male,Unknown,0,0,0,Male
Coles,16,1,['Coles'],Unknown,Unknown,Female,3,13,17,Female
Churchills,15,2,"['Churchills', 'Mr. Churchills']",Unknown,Unknown,Female,17,19,15,Female
Goddard,15,1,['Goddard'],Unknown,Unknown,Female,55,134,59,Female
Highbury,14,1,['Highbury'],Unknown,Unknown,Female,127,140,125,Female
Miss_Nash,14,2,"['Miss Nash', 'Nash']",Female,Female,Unknown,0,0,0,Female
William_Larkins,13,1,['William Larkins'],Male,Male,Unknown,0,0,0,Male
Suckling,13,1,[' Suckling'],Unknown,Unknown,Female,2,5,14,Female
Patty,12,1,['Patty'],Unknown,Unknown,Female,4,16,12,Female
Crown,11,1,['Crown'],Unknown,Unknown,Male,25,5,26,Male
Selina,10,1,['Selina'],Female,Female,Unknown,0,0,0,Female
E,10,1,['E'],Unknown,Unknown,Unknown,0,0,0,Unknown
Ford,10,2,"[' Ford', 'Ford']",Unknown,Unknown,Female,6,19,16,Female
Martins,10,2,"['Martins', 'Miss Martins']",Unknown,Unknown,Female,2,25,13,Female
Campbell,9,1,[' Campbell'],Unknown,Unknown,Female,23,53,51,Female
Wingfield,9,1,[' Wingfield'],Unknown,Unknown,Female,7,16,10,Female
Abbey,8,1,['Abbey'],Unknown,Unknown,Male,32,31,31,Male
William,8,1,['William'],Male,Male,Unknown,0,0,0,Male
Smallridge,8,1,[' Smallridge'],Unknown,Unknown,Female,1,18,10,Female
Westons,7,1,['Westons'],Unknown,Unknown,Female,5,13,8,Female
Robert,7,1,['Robert'],Male,Male,Unknown,0,0,0,Male
Bragge,7,1,[' Bragge'],Unknown,Unknown,Female,1,2,7,Female
—,6,1,['—'],Unknown,Unknown,Female,790,1134,1339,Female
Sucklings,6,1,['Sucklings'],Unknown,Unknown,Female,0,6,6,Female
George,6,1,['George'],Male,Male,Unknown,0,0,0,Male
Elizabeth,6,1,['Elizabeth'],Female,Female,Unknown,0,0,0,Female
Mill,5,1,['Mill'],Unknown,Unknown,Female,6,12,11,Female
Bateses,5,1,['Bateses'],Unknown,Unknown,Male,5,2,5,Male
Coxes,5,2,"['Coxes', 'Miss Coxes']",Unknown,Unknown,Unknown,1,1,5,Unknown
Hodges,5,1,[' Hodges'],Unknown,Unknown,Male,5,3,5,Male
Gilbert,4,1,[' Gilbert'],Male,Male,Unknown,0,0,0,Male
Otway,4,2,"['Miss Otway', 'Otway']",Unknown,Unknown,Female,0,4,5,Female
Grove,4,1,['Grove'],Unknown,Unknown,Female,5,17,31,Female
Maple,4,1,['Maple'],Unknown,Unknown,Female,5,17,31,Female
Wright,4,1,['Wright'],Male,Male,Unknown,0,0,0,Male
Kingston,4,2,"['King', 'Kingston']",Unknown,Unknown,Male,9,2,8,Male
