canonical_key,total_mentions,variation_count,variations,classified_gender,final_gender
Emma,844,1,['Emma'],Female,Female
Harriet,476,1,['Harriet'],Female,Female
Weston,382,1,[' Weston'],Unknown,Unknown
Elton,347,1,[' Elton'],Unknown,Unknown
Knightley,275,1,[' Knightley'],Unknown,Unknown
Miss_Woodhouse,211,2,"['Miss Woodhouse', 'Woodhouse']",Female,Female
Jane,197,1,['Jane'],Female,Female
Miss_Fairfax,141,2,"['Fairfax', 'Miss Fairfax']",Female,Female
Miss_Bates,130,2,"['Bates', 'Miss Bates']",Female,Female
Woodhouse,120,1,[' Woodhouse'],Unknown,Unknown
Frank_Churchill,120,1,['Frank Churchill'],Male,Male
Weston,110,3,"['Captain Weston', 'Miss Weston', 'Weston']",Unknown,Unknown
Jane_Fairfax,107,1,['Jane Fairfax'],Female,Female
Knightley,90,1,['Knightley'],Unknown,Unknown
Frank,85,1,['Frank'],Male,Male
Perry,85,2,"[' Perry', 'Perry']",Unknown,Unknown
Elton,82,1,['Elton'],Unknown,Unknown
Cole,70,2,"[' Cole', 'Cole']",Unknown,Unknown
Isabella,66,1,['Isabella'],Female,Female
Miss_Smith,62,2,"['Miss Smith', 'Smith']",Female,Female
Churchill,58,1,[' Churchill'],Unknown,Unknown
Goddard,52,1,[' Goddard'],Unknown,Unknown
Miss_Taylor,48,2,"['Miss Taylor', 'Taylor']",Female,Female
Churchill,47,2,"['Churchill', 'Miss Churchill']",Unknown,Unknown
Hartfield,45,1,['Hartfield'],Unknown,Unknown
Colonel_Campbell,43,3,"['Campbell', 'Colonel Campbell', 'Miss Campbell']",Male,Male
Randalls,42,1,['Randalls'],Unknown,Unknown
Martin,40,1,[' Martin'],Male,Male
John,36,1,['John'],Male,Male
Dixon,36,1,[' Dixon'],Unknown,Unknown
John_Knightley,33,1,['John Knightley'],Male,Male
Harriet_Smith,29,2,"['Harriet Smith', 'Miss Harriet Smith']",Female,Female
Robert_Martin,28,1,['Robert Martin'],Male,Male
Campbells,25,1,['Campbells'],Unknown,Unknown
Bates,24,1,[' Bates'],Unknown,Unknown
Henry,23,1,['Henry'],Male,Male
John_Knightley,22,1,[' John Knightley'],Male,Male
Martin,21,2,"['Martin', 'Miss Martin']",Male,Male
Miss_Hawkins,21,2,"['Hawkins', 'Miss Hawkins']",Female,Female
Enscombe,20,1,['Enscombe'],Unknown,Unknown
Eltons,20,1,['Eltons'],Unknown,Unknown
Donwell,19,1,['Donwell'],Unknown,Unknown
James,18,1,['James'],Male,Male
Dixon,17,1,['Dixon'],Unknown,Unknown
Frank_Churchill,16,1,[' Frank Churchill'],Male,Male
Coles,16,1,['Coles'],Unknown,Unknown
Churchills,15,2,"['Churchills', 'Mr. Churchills']",Unknown,Unknown
Goddard,15,1,['Goddard'],Unknown,Unknown
Highbury,14,1,['Highbury'],Unknown,Unknown
Miss_Nash,14,2,"['Miss Nash', 'Nash']",Female,Female
William_Larkins,13,1,['William Larkins'],Male,Male
Suckling,13,1,[' Suckling'],Unknown,Unknown
Patty,12,1,['Patty'],Unknown,Unknown
Crown,11,1,['Crown'],Unknown,Unknown
Martins,10,2,"['Martins', 'Miss Martins']",Unknown,Unknown
Ford,10,2,"[' Ford', 'Ford']",Unknown,Unknown
Selina,10,1,['Selina'],Female,Female
E,10,1,['E'],Unknown,Unknown
Wingfield,9,1,[' Wingfield'],Unknown,Unknown
Campbell,9,1,[' Campbell'],Unknown,Unknown
Abbey,8,1,['Abbey'],Unknown,Unknown
William,8,1,['William'],Male,Male
Smallridge,8,1,[' Smallridge'],Unknown,Unknown
Westons,7,1,['Westons'],Unknown,Unknown
Robert,7,1,['Robert'],Male,Male
Bragge,7,1,[' Bragge'],Unknown,Unknown
Elizabeth,6,1,['Elizabeth'],Female,Female
George,6,1,['George'],Male,Male
